Ngày Tháng Năm,VIC,VHM,VRE,VN30F1M
2/21/2020,48.85,63.44,30.7,862.8
2/24/2020,47.69,61.9,29.35,829.0
2/25/2020,47.56,61.23,29.2,841.0
2/26/2020,47.07,59.61,29.0,836.6
2/27/2020,46.93,59.54,29.0,847.2
2/28/2020,46.85,59.24,28.5,830.1
3/2/2020,46.85,59.32,28.55,839.6
3/3/2020,46.89,59.32,28.45,838.0
3/4/2020,46.89,59.32,28.45,841.1
3/5/2020,46.93,59.69,28.6,836.0
3/6/2020,46.67,59.61,28.5,832.3
3/9/2020,43.42,55.49,26.55,774.1
3/10/2020,43.42,56.37,26.4,781.5
3/11/2020,43.11,56.37,26.0,745.0
3/12/2020,40.8,53.05,24.2,694.0
3/13/2020,41.11,53.05,24.2,712.3
3/16/2020,41.11,52.91,23.7,674.9
3/17/2020,39.33,51.51,22.1,700.6
3/18/2020,39.56,51.21,22.1,688.0
3/19/2020,39.42,50.48,21.9,678.0
3/20/2020,36.67,47.01,20.4,672.1
3/23/2020,34.13,43.77,19.0,625.1
3/24/2020,31.78,40.75,17.7,626.0
3/25/2020,34.0,43.55,18.9,648.3
3/26/2020,36.36,44.95,20.0,626.1
