as_of_date,scenario_name,scenario_rank,shock_type,shock_magnitude,dd_total,dd_exogenous,dd_endogenous,panic_ratio,margin_calls,margin_call_events,min_price_mean,end_price_mean,dd_total_p10,dd_total_p90,panic_ratio_p10,panic_ratio_p90,simulation_runs,simulation_agents,steps_post_shock,stress_confidence
2026-06-26,liquidity_withdrawal_50pct,5,LIQUIDITY_WITHDRAWAL,0.5,0.0,0.0,0.0,0.0,0,0,1871.91,2114.235183240104,0.0,0.0,0.0,0.0,12,1000,20,0.409292972245624
2026-06-26,price_drop_3pct,1,PRICE_DROP,0.03,0.027233286596546,0.0263114551307748,0.0009218314657711,0.0335223987212066,0,0,1820.93173848706,1950.605631425212,0.0243531433496302,0.0298157473513782,0.0,0.1221422242766675,12,1000,20,0.409292972245624
2026-06-26,price_drop_5pct,2,PRICE_DROP,0.05,0.0538630980698298,0.0476176733124736,0.0062454247573561,0.1138536530431556,261,261,1771.083128092105,1891.000665715873,0.0518730627351451,0.0560605983405236,0.0718246091946339,0.1517631255477769,12,1000,20,0.409292972245624
2026-06-26,price_drop_7pct,3,PRICE_DROP,0.07,0.0782792706771552,0.0680490993187569,0.0102301713583982,0.1287233018376791,304,304,1725.3782504267265,1833.3567692316208,0.0736174327816162,0.0827304295474128,0.0580993660309818,0.1901333144499908,12,1000,20,0.409292972245624
2026-06-30,cost_of_capital_100bp,7,COST_OF_CAPITAL,0.01,0.0,0.0,0.0,0.0,0,0,1860.0099999999995,2809.7270806294364,0.0,0.0,0.0,0.0,12,1000,20,0.4028213866172789
2026-06-30,foreign_outflow_1z,6,FOREIGN_OUTFLOW,1.0,0.0,0.0,0.0,0.0,0,0,1860.0099999999995,2745.088990328544,0.0,0.0,0.0,0.0,12,1000,20,0.4028213866172789
2026-06-30,liquidity_withdrawal_25pct,4,LIQUIDITY_WITHDRAWAL,0.25,0.0,0.0,0.0,0.0,0,0,1860.0099999999995,3037.9221987826045,0.0,0.0,0.0,0.0,12,1000,20,0.4028213866172789
2026-06-30,liquidity_withdrawal_50pct,5,LIQUIDITY_WITHDRAWAL,0.5,0.0,0.0,0.0,0.0,0,0,1860.0099999999995,3019.056312619456,0.0,0.0,0.0,0.0,12,1000,20,0.4028213866172789
2026-06-30,price_drop_3pct,1,PRICE_DROP,0.03,0.0041984409124322,0.0041984409124322,0.0,0.0,0,0,1852.200857918467,2804.286980802955,0.0002755355184395,0.0083388785365437,0.0,0.0,12,1000,20,0.4028213866172789
2026-06-30,price_drop_5pct,2,PRICE_DROP,0.05,0.025723573884367,0.025723573884367,0.0,0.0,0,0,1812.1638953393383,2738.7947167527886,0.0223086475262307,0.0290402011450192,0.0,0.0,12,1000,20,0.4028213866172789
2026-06-30,price_drop_7pct,3,PRICE_DROP,0.07,0.0857977435042215,0.0618133484535902,0.0239843950506312,0.2702288794022332,307,307,1700.425339104713,2542.042971804734,0.0743935711102249,0.0946529857462538,0.1283179519597652,0.381336111092593,12,1000,20,0.4028213866172789
2026-07-06,cost_of_capital_100bp,7,COST_OF_CAPITAL,0.01,0.0,0.0,0.0,0.0,0,0,1862.0800000000008,1992.9133589295263,0.0,0.0,0.0,0.0,12,1000,20,0.4073301448270293
2026-07-06,foreign_outflow_1z,6,FOREIGN_OUTFLOW,1.0,1.335737928669574e-05,0.0,1.335737928669574e-05,0.0833333333333333,0,0,1862.0551274911784,1995.3750101912235,0.0,0.0,0.0,0.0,12,1000,20,0.4073301448270293
2026-07-06,liquidity_withdrawal_25pct,4,LIQUIDITY_WITHDRAWAL,0.25,0.0,0.0,0.0,0.0,0,0,1862.0800000000008,2068.579196794393,0.0,0.0,0.0,0.0,12,1000,20,0.4073301448270293
2026-07-06,liquidity_withdrawal_50pct,5,LIQUIDITY_WITHDRAWAL,0.5,0.0,0.0,0.0,0.0,0,0,1862.0800000000008,2127.762315716157,0.0,0.0,0.0,0.0,12,1000,20,0.4073301448270293
2026-07-06,price_drop_3pct,1,PRICE_DROP,0.03,0.0252054796495142,0.0251872069651901,1.827268432408787e-05,0.0006164686793759,0,0,1815.1453804542325,1951.840460762052,0.0225081040671872,0.0288143735960862,0.0,0.0003602872011143,12,1000,20,0.4073301448270293
2026-07-06,price_drop_5pct,2,PRICE_DROP,0.05,0.0583442852684043,0.0473485246223548,0.0109957606460495,0.186575939019027,275,275,1753.43827328741,1885.66131457115,0.0552185600520375,0.0619975094118427,0.139736627930238,0.2316211708754927,12,1000,20,0.4073301448270293
2026-07-06,price_drop_7pct,3,PRICE_DROP,0.07,0.0855988625130745,0.0684517172895393,0.0171471452235351,0.1995695028270024,316,316,1702.6880700916545,1825.4465853232327,0.0822911475272018,0.0881387956262506,0.1591290210022082,0.2323808743432731,12,1000,20,0.4073301448270293
2026-07-08,cost_of_capital_100bp,7,COST_OF_CAPITAL,0.01,0.0004555961325902,0.0002141344925257,0.0002414616400644,0.2920046662498679,0,0,1848.8472883895083,1882.309454568957,0.0,0.0012171564133801,0.0,1.0,12,1000,20,0.4071793826172636
