report_date,sector,maturity_bucket,yield_avg_pct,yield_median_pct,issuance_count,source,scrape_run_id,scraped_at
2026-05-29,non_bank_corp,<=3Y,10.146227929373998,10.0,3,vbma_weekly:https://vbma.org.vn/storage/reports/June2026/25052026-29052026 BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260708T043116Z,2026-07-08T04:31:16Z
2026-05-29,non_bank_corp,>5Y,7.576106194690266,7.6,2,vbma_weekly:https://vbma.org.vn/storage/reports/June2026/25052026-29052026 BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260708T043116Z,2026-07-08T04:31:16Z
2026-05-29,real_estate,<=3Y,12.480392156862743,12.5,6,vbma_weekly:https://vbma.org.vn/storage/reports/June2026/25052026-29052026 BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260708T043116Z,2026-07-08T04:31:16Z
2026-06-01,bank,<=3Y,8.434437086092716,8.55,12,vbma:pdf_table,vbma-20260721T041142Z-b7a7c8,2026-07-21T04:11:53Z
2026-06-01,bank,>5Y,8.13888888888889,8.3,5,vbma:pdf_table,vbma-20260721T041142Z-b7a7c8,2026-07-21T04:11:53Z
2026-06-01,non_bank_corp,3Y_5Y,12.0,12.0,1,vbma:pdf_table,vbma-20260721T041142Z-b7a7c8,2026-07-21T04:11:53Z
2026-06-01,non_bank_corp,<=3Y,9.865714285714288,9.5,3,vbma:pdf_table,vbma-20260721T041142Z-b7a7c8,2026-07-21T04:11:53Z
2026-06-01,non_bank_corp,>5Y,10.0,10.0,1,vbma:pdf_table,vbma-20260721T041142Z-b7a7c8,2026-07-21T04:11:53Z
2026-06-01,real_estate,3Y_5Y,12.411522633744855,12.25,4,vbma:pdf_table,vbma-20260721T041142Z-b7a7c8,2026-07-21T04:11:53Z
2026-06-01,real_estate,<=3Y,12.414917541229386,12.5,6,vbma:pdf_table,vbma-20260721T041142Z-b7a7c8,2026-07-21T04:11:53Z
